transcript	SRR1976948	SRR1977249
k99_1775	9.89954	2.33346
k99_1776	0.268087	36.6428
k99_1777	10.2094	3.82406
k99_1783	8.4866	13.0621
k99_1787	10.0319	4.10641
k99_1789	17.4516	1.01611
k99_1802	173.806	168.696
k99_1806	1.22036	39.9576
k99_1816	191.609	163.673
k99_1823	10.6545	3.70378
k99_1824	43.0591	17.3788
k99_1826	304.618	2900.55
k99_1828	54.2543	26.6478
k99_1831	42.2395	15.4549
k99_1833	13.6118	1.72991
k99_1835	1343.95	775.995
k99_1836	9.72539	12.3131
k99_1846	0.0	46.4631
k99_1849	11.7997	0.0
k99_1852	39.2412	17.8201
k99_1853	0.18098	36.5195
k99_1856	4.1126	0.0
k99_1857	155.25	149.448
k99_1863	22.2658	3.27065
k99_1866	360.915	408.46
k99_1869	20.5855	15.4284
k99_1874	210.957	3640.04
k99_1879	0.0	52.7916
k99_1880	0.32588	34.4447
k99_1882	0.0	71.8289
k99_1888	12.0343	1.43348
k99_1889	4907.64	1860.63
k99_1894	149.716	2051.43
k99_1897	141.085	151.901
k99_1903	13.8615	8.73054
k99_1905	74.7534	78.2393
k99_1907	255.316	200.76
k99_1914	1104.37	771.457
k99_1915	36.03	24.842
k99_1927	9.54623	7.93403
k99_1932	9.45974	2.08634
k99_1934	11.6771	2.15921
k99_1937	0.286911	38.1641
k99_1940	15.8094	9.37323
k99_1952	0.597222	39.9848
k99_1953	0.0	0.0
k99_1954	30.8925	13.0408
k99_1958	19.5652	8.20945
k99_1971	31.0675	9.29036
k99_1973	6.72714	0.0
k99_1977	42.2662	17.4555
k99_1979	46.0875	27.9378
k99_1981	19.3527	11.7435
k99_1983	25.5539	13.3665
k99_1988	24.2359	9.90313
k99_1989	21.346	19.9425
k99_1990	11.2111	11.2326
k99_1991	28.806	7.46621
k99_1992	576.21	236.349
k99_1996	66.893	16.3166
k99_1997	21.6121	12.3096
k99_1998	193.49	193.35
k99_2000	40.9398	269.124
k99_2002	22.0833	16.4864
k99_2005	26.6208	20.9686
k99_2010	28.7446	14.5654
k99_2011	148.918	137.201
k99_2012	2163.05	795.367
k99_2014	9.11856	1.21005
k99_2015	184.248	2506.71
k99_2016	13.4187	0.612347
k99_2019	0.161166	33.4273
k99_2021	11.0479	1.11009
k99_2026	9.94018	6.30033
k99_2027	158.009	164.642
k99_2028	15.713	14.2127
k99_2034	20.4811	12.2067
k99_2036	1098.58	911.505
k99_2039	4.0925	6.72268
k99_2048	50.5817	11.6049
k99_2049	139.542	135.298
k99_2052	0.506143	31.8578
k99_2054	24.8675	21.8423
k99_2060	70.5441	33.3851
k99_2065	127.691	144.288
k99_2066	18.9728	4.46429
k99_2074	8574.53	3854.98
k99_2077	30.7982	13.6124
k99_2078	115.284	118.873
k99_2085	8.72037	1.90154
k99_2087	869.116	645.71
k99_2088	522.188	94.1238
k99_2092	38.9946	17.4406
k99_2097	137.758	128.108
k99_2103	158.65	146.214
k99_2108	11.1581	9.53906
k99_2131	8.49762	4.51834
k99_2134	0.699491	40.6848
k99_2137	144.179	1888.37
k99_2140	79.3887	1283.34
k99_2145	11.7536	3.00722
k99_2147	12.427	4.64518
k99_2148	10.9942	7.51699
k99_2155	27.6995	9.28329
k99_2157	289.013	226.558
k99_2166	1407.98	61.3476
k99_2168	291.059	250.597
k99_2169	8.9158	1.21397
k99_2171	153.516	146.992
k99_2172	295.931	4090.49
k99_2173	2646.45	1252.66
k99_2174	0.157841	34.373
k99_2181	10.76	2.05241
k99_2191	11.7488	1.10117
k99_2195	24.2048	6.65521
k99_2198	206.275	147.275
k99_2203	166.253	139.255
k99_2205	0.0821119	34.6071
k99_2210	12.6977	1.87406
k99_2212	29.504	14.5119
k99_2213	150.776	137.82
k99_2219	52.5043	26.9757
k99_2225	12.3819	3.0853
k99_2226	0.0	40.8421
k99_2233	11.5103	19.2376
k99_2238	0.0	46.3805
k99_2240	9.58194	3.18578
k99_2244	41.8659	28.0271
k99_2256	142.561	136.663
k99_2258	12.4984	4.35059
k99_2263	12.2287	3.49326
k99_2265	6.6306	0.0
k99_2267	6.90384	8.51039
k99_2268	10.7531	7.24538
k99_2269	26.8495	13.6028
k99_2297	23.1833	17.4224
k99_2299	189.931	175.693
k99_2303	441.648	506.398
k99_2304	180.021	230.119
k99_2308	8.06109	0.0
k99_2312	15.9659	12.1811
k99_2321	108.405	107.212
k99_2322	7.5455	0.569317
k99_2323	0.0	41.6269
k99_2330	15.9332	22.3506
k99_2332	121.739	608.688
k99_2337	8.25899	0.0
k99_2340	19.3482	9.18566
k99_2349	101.887	86.5294
k99_2353	8.83413	1.1596
k99_2358	175.231	178.932
k99_2359	187.263	194.071
k99_2363	40.8442	13.8017
k99_2373	15.8787	9.07787
k99_2376	15.0928	9.71417
k99_2379	32.5862	16.6007
k99_2381	7.49687	1.30007
k99_2387	40.7643	14.2714
k99_2391	24.2235	10.3599
k99_2396	23.1789	8.44276
k99_2407	154.764	138.224
k99_2409	334.497	8.31152
k99_2414	40.1039	14.8727
k99_2417	12.3304	0.0
k99_2419	449.903	532.495
k99_2421	0.0	39.8106
k99_2422	17.145	10.2422
k99_2424	12.5937	1.25016
k99_2429	36.2717	12.6413
k99_2430	273.04	299.541
k99_2431	30.832	15.6303
k99_2433	164.623	157.691
k99_2440	150.138	145.081
k99_2442	13.7149	3.49703
k99_2443	131.292	137.3
k99_2445	388.133	383.488
k99_2448	42.4117	16.8026
k99_2450	139.056	124.222
k99_2452	1852.32	54.5589
k99_2455	123.943	111.841
k99_2460	35.4916	15.2575
k99_2475	0.0796538	37.1716
k99_2476	26.8253	19.378
k99_2478	166.325	2182.47
k99_2479	305.36	300.9
k99_2482	243.725	195.984
k99_2485	237.561	240.122
k99_2487	102.516	63.8907
k99_2488	8.54184	2.90826
k99_2490	17.2765	0.139795
k99_2491	128.704	118.078
k99_2493	20.5559	9.24168
k99_2498	183.381	156.589
k99_2499	294.892	249.605
k99_2500	63.0443	30.6855
k99_2503	114.507	2026.96
k99_2504	0.243531	39.3324
k99_2506	37.409	9.28167
k99_2529	35.0202	60.5525
k99_2533	139.043	156.51
k99_2534	182.705	196.496
k99_2539	18.0072	8.70018
k99_2540	20.4845	10.9734
k99_2542	37.9911	18.8397
k99_2549	9.93313	6.77159
k99_2550	11.2145	2.86101
k99_2554	20.2795	12.4748
k99_2555	0.0	37.131
k99_2556	7.75276	1.69279
k99_2558	28.5554	62.2675
k99_2559	62.6408	11.786
k99_2560	42.6114	32.5223
k99_2579	15.9409	10.0681
k99_2580	12.1208	1.27063
k99_2582	217.467	184.25
k99_2583	16.4203	8.98504
k99_2589	18.7681	8.53559
k99_2593	7.80498	7.93289
k99_2598	44.9734	20.4581
k99_2601	10.8548	1.14212
k99_2604	44.6104	11.6019
k99_2605	0.249552	37.9215
k99_2606	43.2022	15.1895
k99_2617	42.2605	16.058
k99_2620	298.244	282.027
k99_2621	42.3617	13.467
k99_2626	7.73268	0.399769
k99_2631	25.3526	36.028
k99_2648	18.3376	27.8523
k99_2649	16.6961	7.99188
k99_2657	18.6448	11.0964
k99_2665	153.429	147.536
k99_2668	0.0	40.0327
k99_2680	353.934	5362.72
k99_2681	198.398	163.443
k99_2682	198.626	168.779
k99_2684	46.5178	14.8775
k99_2685	148.952	151.105
k99_2687	22.9918	12.849
k99_2688	14.7248	7.37264
k99_2693	127.002	113.519
k99_2696	10.2308	1.14689
k99_2698	140.833	135.267
k99_2700	194.597	194.495
k99_2704	0.376558	36.9116
k99_2707	310.36	432.735
k99_2711	20.2473	10.5877
k99_2712	804.448	288.69
k99_2713	0.205542	35.6477
k99_2720	0.221974	39.593
k99_2726	67.206	38.6131
k99_2729	0.389091	29.8045
k99_2737	244.522	198.105
k99_2738	11.3431	2.35664
k99_2740	30.886	15.6123
k99_2743	109.006	130.392
k99_2746	44.4551	15.1925
k99_2749	62.0879	46.2658
k99_2750	992.67	601.457
k99_2755	6.84067	3.62346
k99_2759	233.939	218.321
k99_2760	22.493	15.5231
k99_2761	112.624	112.08
k99_2764	397.3	351.607
k99_2766	152.259	138.9
k99_2768	20.0657	11.4092
k99_2772	26.2216	17.3173
k99_2775	17.3329	2.70165
k99_2782	0.17319	37.703
k99_2791	7.90027	0.0
k99_2794	8.60209	0.889934
